지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",메가박스(주) 이수지점,198295.8433,442507.6991
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 컴포트 9관,205130.5917,445590.0968
서울특별시 영등포구 여의도동 23 IFC,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 7관(TEMPUR CINEMA관),193326.931,446973.9146
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",메가박스(주) 이수지점,198295.8433,442507.6991
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 9관,193326.931,446973.9146
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",메가박스(주) 이수지점,198295.8433,442507.6991
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 3관,200573.6413,451621.0365
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 COMFORT 1관,200573.6413,451621.0365
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 2관,200573.6413,451621.0365
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",메가박스(주) 이수지점,198295.8433,442507.6991
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 8관[COMFORT SEAT],193326.931,446973.9146
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",메가박스(주) 이수지점,198295.8433,442507.6991
